Ngay,KiHieu,DoMan,DO,BOD5,NH4
3/1/2015,QL01,7.9,6,5.62,0.63
3/15/2015,QL01,7.6,6.2,4.78,0.3
4/1/2015,QL01,6,5.6,4.62,0.29
4/15/2015,QL01,4.5,5,3.56,0.3
5/1/2015,QL01,2,6.3,4.25,1.32
5/15/2015,QL01,2,5.5,5.84,0.07
6/1/2015,QL01,1.1,4.5,4.65,0.12
6/15/2015,QL01,2.1,5.9,3.45,0.16
3/1/2016,QL01,3.6,6.05,3.78,0.016
3/15/2016,QL01,4.6,6.45,5.01,0.053
4/1/2016,QL01,5.4,4.5,6.11,0.13
4/15/2016,QL01,5.1,5.5,6.12,0.05
5/1/2016,QL01,5.6,6.4,7.82,0.01
5/15/2016,QL01,3,5.4,7.52,0.036
6/1/2016,QL01,2.2,5.6,6.84,0.014
6/15/2016,QL01,1.2,4.95,6.45,0.058
3/1/2017,QL01,1.2,6,5.62,0.04
3/15/2017,QL01,1,5.7,5.3,0.05125
4/1/2017,QL01,1.9,3.5,4.6,0.02875
4/15/2017,QL01,0.7,4.32,4.56,0.02875
5/1/2017,QL01,0.6,3.95,4.23,0.05375
5/15/2017,QL01,2,4.56,5.12,0.0625
6/1/2017,QL01,0.6,5,5.12,0.045
6/15/2017,QL01,0.6,5.5,5.04,0.06125
1/1/2018,QL01,0.7,5.4648,4.0934,0.01955
1/15/2018,QL01,0.7,5.52,4.22,0.023
2/1/2018,QL01,0.9,6.19,5.18,0.019
2/15/2018,QL01,1,6.05,4.85,0.021
3/1/2018,QL01,3.8,6.45,3.16,0.193
3/15/2018,QL01,1.6,6.11,5.28,0.203
4/1/2018,QL01,2.5,5.42,4.86,0.173
4/15/2018,QL01,1.6,5.24,5.12,0.204
5/1/2018,QL01,0.8,5.16,3.76,0.223
5/15/2018,QL01,0.6,3.45,3.05,0.058
6/1/2018,QL01,1,4.25,3.5,0.102
6/15/2018,QL01,0.9,3.46,3.3,0.051
1/1/2019,QL01,1,4.26,3.48,0.318
1/15/2019,QL01,0.8,2.561576355,2.4,1.012
2/1/2019,QL01,1.2,5.37,5.1,1.024
2/19/2019,QL01,3.6,2.77,2.03,2.018
3/4/2019,QL01,3.2,3.6,7.11685754,0.94
3/20/2019,QL01,3.4,3.55,6.23,0.207375
4/1/2019,QL01,0.8,3.05,6.41,0.23
4/15/2019,QL01,1.6,3.5,7.15,0.16
5/1/2019,QL01,0.5,4.2,7.4152,0.895
5/15/2019,QL01,1,2.1,6.01,0.09875
6/1/2019,QL01,1,4.2,4.548090445,0.53875
6/15/2019,QL01,0.8,4.55,6.48,1.74
2/10/2020,QL01,14.3,5.22,5.18,0.211
2/25/2020,QL01,2.6,1.97,4.26,1.86
3/10/2020,QL01,3.5,0.985221675,10.25,1.8925
3/26/2020,QL01,3.6,4.236453202,11.51415514,1.02875
5/2/2020,QL01,3.45,3.52,6.8,0.29375
5/11/2020,QL01,3.03,3.15270936,5.5,0.235
5/25/2020,QL01,2.42,3.65,8.3545056,0.5375
6/9/2020,QL01,2.4,4.38,6.073213,0.615
6/23/2020,QL01,2.33,4.89,8.62,0.69625
7/8/2020,QL01,0.6,6.12,15.01,2.0175
